district_encoded,property_type_encoded,bedrooms,bathrooms,house_size,land_size,bed_bath_ratio,total_rooms,has_house_size,has_land_size,is_apartment,log_house_size,log_land_size
3,0,3,2,1200.0,6.0,1.5,5,1,1,0,7.0909098220799835,1.9459101490553132
3,0,4,4,3500.0,16.4,1.0,8,1,1,0,8.160803920954665,2.856470206220483
3,0,3,3,1600.0,10.0,1.0,6,1,1,0,7.3783837129967145,2.3978952727983707
3,0,5,2,4000.0,10.0,2.5,7,1,1,0,8.294299608857235,2.3978952727983707
9,0,5,3,4300.0,,1.6666666666666667,8,1,0,0,8.366602832783736,
3,0,4,3,3000.0,9.0,1.3333333333333333,7,1,1,0,8.006700845440367,2.302585092994046
3,0,5,5,4800.0,14.0,1.0,10,1,1,0,8.476579508530941,2.70805020110221
5,0,4,4,2900.0,6.0,1.0,8,1,1,0,7.972810784121404,1.9459101490553132
3,0,3,2,1200.0,6.0,1.5,5,1,1,0,7.0909098220799835,1.9459101490553132
3,0,3,1,1146.0,6.88,3.0,4,1,1,0,7.044905117129371,2.064327903869788
5,0,5,3,4973.0,16.0,1.6666666666666667,8,1,1,0,8.51197962436335,2.833213344056216
3,0,4,3,3500.0,10.0,1.3333333333333333,7,1,1,0,8.160803920954665,2.3978952727983707
3,0,3,2,1780.0,6.0,1.5,5,1,1,0,7.484930283289661,1.9459101490553132
3,0,3,3,3000.0,10.0,1.0,6,1,1,0,8.006700845440367,2.3978952727983707
3,0,5,5,3350.0,15.0,1.0,10,1,1,0,8.11701408773731,2.772588722239781
5,0,3,2,2000.0,6.0,1.5,5,1,1,0,7.601402334583733,1.9459101490553132
3,0,4,3,2415.0,11.7,1.3333333333333333,7,1,1,0,7.789868559054706,2.5416019934645457
3,0,4,2,2600.0,6.0,2.0,6,1,1,0,7.8636512654486515,1.9459101490553132
3,0,5,3,2100.0,6.0,1.6666666666666667,8,1,1,0,7.650168700845001,1.9459101490553132
3,0,4,3,3450.0,7.0,1.3333333333333333,7,1,1,0,8.146419323098003,2.0794415416798357
3,0,4,4,3000.0,10.0,1.0,8,1,1,0,8.006700845440367,2.3978952727983707
3,0,4,3,3000.0,6.0,1.3333333333333333,7,1,1,0,8.006700845440367,1.9459101490553132
3,0,5,6,6000.0,11.0,0.8333333333333334,11,1,1,0,8.699681400989514,2.4849066497880004
3,0,2,1,1350.0,6.5,2.0,3,1,1,0,7.208600337960199,2.0149030205422647
3,0,5,4,5000.0,20.0,1.25,9,1,1,0,8.517393171418904,3.044522437723423
3,0,4,3,2800.0,24.0,1.3333333333333333,7,1,1,0,7.937731775260109,3.2188758248682006
3,0,4,3,2999.97,10.0,1.3333333333333333,7,1,1,0,8.006690848722622,2.3978952727983707
3,0,2,3,1800.0,4.3,0.6666666666666666,5,1,1,0,7.496097345175956,1.667706820558076
